feature_map_family,ansatz_family,num_qubits,depth,topology,seed,noise_condition,expressibility_kl,meyer_wallach,gradient_variance,kta,svm_accuracy
zz,real_amplitudes,10,8,linear,2,noiseless,0.12723505158613285,0.6707588260221528,0.002681771646721949,0.1854977662497757,0.4
zz,real_amplitudes,10,8,circular,0,noiseless,0.027288519626075924,0.7689032502897046,0.00047914552673215994,0.18372700460615582,0.4
zz,real_amplitudes,10,8,circular,1,noiseless,0.05735363511904183,0.7612330308989719,0.0004943867723267234,0.18372700460615582,0.4
zz,real_amplitudes,10,8,circular,2,noiseless,8.740648201398857e-10,0.7577546409069551,0.0004367011266214709,0.18372700460615582,0.4
local_z,rotation_only,4,1,linear,0,noiseless,0.6919599044087031,2.674527266322002e-15,0.4145862637130503,0.1949855334643887,0.5333333333333333
local_z,rotation_only,4,1,linear,1,noiseless,0.6392728033209696,2.7200464103316335e-15,0.2291142167890223,0.1949855334643887,0.5333333333333333
local_z,rotation_only,4,1,linear,2,noiseless,0.6002207168053445,2.687849942617504e-15,0.24415107885200343,0.1949855334643887,0.5333333333333333
local_z,rotation_only,4,1,circular,0,noiseless,0.6919599044087031,2.674527266322002e-15,0.4145862637130503,0.1949855334643887,0.5333333333333333
local_z,rotation_only,4,1,circular,1,noiseless,0.6392728033209696,2.7200464103316335e-15,0.2291142167890223,0.1949855334643887,0.5333333333333333
local_z,rotation_only,4,1,circular,2,noiseless,0.6002207168053445,2.687849942617504e-15,0.24415107885200343,0.1949855334643887,0.5333333333333333
local_z,rotation_only,4,8,linear,0,noiseless,0.5990193470024479,2.2256640974660513e-14,0.48515889853653327,0.21425963023092265,0.4
local_z,rotation_only,4,8,linear,1,noiseless,0.5528336679523429,2.2762902673889585e-14,0.31284485579003596,0.21425963023092265,0.4
local_z,rotation_only,4,8,linear,2,noiseless,0.6915659224924395,2.2416513090206535e-14,0.3277398278284491,0.21425963023092265,0.4
local_z,rotation_only,4,8,circular,0,noiseless,0.5990193470024479,2.2256640974660513e-14,0.48515889853653327,0.21425963023092265,0.4
local_z,rotation_only,4,8,circular,1,noiseless,0.5528336679523429,2.2762902673889585e-14,0.31284485579003596,0.21425963023092265,0.4
local_z,rotation_only,4,8,circular,2,noiseless,0.6915659224924395,2.2416513090206535e-14,0.3277398278284491,0.21425963023092265,0.4
local_z,rotation_only,10,1,linear,0,noiseless,0.21834682544405137,6.167288901792744e-15,0.4205367260184058,0.18205511461837098,0.4
local_z,rotation_only,10,1,linear,1,noiseless,0.3596627139939541,6.333822355486518e-15,0.24124525358917512,0.18205511461837098,0.4
local_z,rotation_only,10,1,linear,2,noiseless,0.14065692245246147,6.202816038580749e-15,0.26572817621435,0.18205511461837098,0.4
