feature_map_family,ansatz_family,num_qubits,depth,topology,noise_condition,expressibility_kl_mean,meyer_wallach_mean,gradient_variance_mean,kta_mean,svm_accuracy_mean,expressibility_kl_std,meyer_wallach_std,gradient_variance_std,kta_std,svm_accuracy_std
cx_ry,rotation_only,4,8,circular,noiseless,0.1369708871548244,0.762179628723742,0.0705084658848005,0.27203253360291774,0.5333333333333333,0.03608862386686323,0.0060715721243298345,0.0762058843666041,0.0,0.0
cx_ry,rotation_only,4,8,linear,noiseless,0.23591750740026673,0.6726730800492616,0.12422281402322204,0.15438738078793077,0.4000000000000001,0.011806043550728016,0.006579024606177627,0.13845839597180393,0.0,0.0
cx_ry,rotation_only,10,1,circular,noiseless,0.6277529668263232,0.7149537211353486,0.057689843823760474,0.20019508581723078,0.4000000000000001,0.35319747244788774,0.006864498928701361,0.08273017625961446,0.0,0.0
cx_ry,rotation_only,10,1,linear,noiseless,0.6277529668263232,0.6255554448951761,0.10727590276208536,0.20019508581723075,0.4000000000000001,0.35319747244788774,0.008591690619358541,0.09363057199625117,0.0,0.0
cx_ry,rotation_only,10,8,circular,noiseless,8.740648201398856e-10,0.992869342112716,0.002957701341856958,0.18334435757375245,0.4000000000000001,0.0,0.00016694310479651724,0.0026217295434040203,0.0,0.0
cx_ry,rotation_only,10,8,linear,noiseless,8.740648201398856e-10,0.9497451840422689,0.01807200042099526,0.18336627775125666,0.4000000000000001,0.0,0.000528164811406813,0.01847142140999665,0.0,0.0
local_z,real_amplitudes,4,1,circular,noiseless,0.6438178081783391,2.694141206423713e-15,0.05386885155320423,0.1949855334643887,0.5333333333333333,0.046038162836892035,2.3402630579742026e-17,0.03855911545131953,0.0,0.0
local_z,real_amplitudes,4,1,linear,noiseless,0.6438178081783391,2.694141206423713e-15,0.20373725602541404,0.1949855334643887,0.5333333333333333,0.046038162836892035,2.3402630579742026e-17,0.09629163065394354,0.0,0.0
local_z,real_amplitudes,4,8,circular,noiseless,0.6144729791490767,2.2478685579585544e-14,0.03002330120689677,0.21425963023092265,0.4000000000000001,0.07064538677321425,2.587939157964576e-16,0.005710564770600098,0.0,0.0
local_z,real_amplitudes,4,8,linear,noiseless,0.6144729791490767,2.2478685579585544e-14,0.035360094834844986,0.21425963023092265,0.4000000000000001,0.07064538677321425,2.587939157964576e-16,0.009846356911675807,0.0,0.0
local_z,real_amplitudes,10,1,circular,noiseless,0.23955548729682233,6.234642431953337e-15,0.07741340466915118,0.18205511461837098,0.4000000000000001,0.11103260640626166,8.770996115678127e-17,0.07632652613850523,0.0,0.0
local_z,real_amplitudes,10,1,linear,noiseless,0.23955548729682233,6.234642431953337e-15,0.20837565028757088,0.18205511461837098,0.4000000000000001,0.11103260640626166,8.770996115678127e-17,0.08221895429705241,0.0,0.0
local_z,real_amplitudes,10,8,circular,noiseless,2.83801107397421,5.56865664691486e-14,0.0004443640170815164,0.18457028667913633,0.4000000000000001,0.2251553079420956,2.3014845643648636e-16,0.00014447442069807142,0.0,0.0
local_z,real_amplitudes,10,8,linear,noiseless,2.83801107397421,5.56865664691486e-14,0.012782150144409074,0.18457028667913633,0.4000000000000001,0.2251553079420956,2.3014845643648636e-16,0.002682561698744214,0.0,0.0
local_z,rotation_only,4,1,circular,noiseless,0.6438178081783391,2.694141206423713e-15,0.295950519784692,0.1949855334643887,0.5333333333333333,0.046038162836892035,2.3402630579742026e-17,0.10301629292617519,0.0,0.0
local_z,rotation_only,4,1,linear,noiseless,0.6438178081783391,2.694141206423713e-15,0.295950519784692,0.1949855334643887,0.5333333333333333,0.046038162836892035,2.3402630579742026e-17,0.10301629292617519,0.0,0.0
local_z,rotation_only,4,8,circular,noiseless,0.6144729791490767,2.2478685579585544e-14,0.37524786071833943,0.21425963023092265,0.4000000000000001,0.07064538677321425,2.587939157964576e-16,0.0954766580045123,0.0,0.0
local_z,rotation_only,4,8,linear,noiseless,0.6144729791490767,2.2478685579585544e-14,0.37524786071833943,0.21425963023092265,0.4000000000000001,0.07064538677321425,2.587939157964576e-16,0.0954766580045123,0.0,0.0
local_z,rotation_only,10,1,circular,noiseless,0.23955548729682233,6.234642431953337e-15,0.3091700519406437,0.18205511461837098,0.4000000000000001,0.11103260640626166,8.770996115678127e-17,0.09722013909897707,0.0,0.0
local_z,rotation_only,10,1,linear,noiseless,0.23955548729682233,6.234642431953337e-15,0.3091700519406437,0.18205511461837098,0.4000000000000001,0.11103260640626166,8.770996115678127e-17,0.09722013909897707,0.0,0.0
local_z,rotation_only,10,8,circular,noiseless,2.83801107397421,5.56865664691486e-14,0.39512090331917604,0.18457028667913633,0.4000000000000001,0.2251553079420956,2.3014845643648636e-16,0.08724158569213449,0.0,0.0
local_z,rotation_only,10,8,linear,noiseless,2.83801107397421,5.56865664691486e-14,0.39512090331917604,0.18457028667913633,0.4000000000000001,0.2251553079420956,2.3014845643648636e-16,0.08724158569213449,0.0,0.0
zz,real_amplitudes,4,1,circular,noiseless,0.058394173073825974,0.7165943489988607,0.03913850848989395,0.19581847487496198,0.4000000000000001,0.011586693672983121,0.005719041667476149,0.02006969318007903,0.0,0.0
zz,real_amplitudes,4,1,linear,noiseless,0.08002380249365237,0.5998704083088823,0.08771684328980328,0.2002035731650517,0.4000000000000001,0.020533892816176222,0.005466893376163983,0.03670387422507665,0.0,0.0
zz,real_amplitudes,4,8,circular,noiseless,0.06373002138380655,0.6681518589477302,0.034346948043488555,0.19945813617857114,0.4000000000000001,0.003487325292861935,0.010786128376722243,0.007175954052888669,0.0,0.0
zz,real_amplitudes,4,8,linear,noiseless,0.09230103085322594,0.5488612181881117,0.026735551913760616,0.22341684009863036,0.4000000000000001,0.026833135032094838,0.010399625935188268,0.007548299902743407,0.0,0.0
zz,real_amplitudes,10,1,circular,noiseless,0.03823575703738283,0.7192242003343944,0.05147016789676425,0.18323917048649144,0.4000000000000001,0.03311313617034082,0.005481663010638313,0.0240307178174999,0.0,0.0
zz,real_amplitudes,10,1,linear,noiseless,0.051506518673105926,0.6713053695302079,0.091700937478976,0.18327547169787542,0.4000000000000001,0.04884614149776427,0.0033351953779206327,0.03631054914476599,0.0,0.0
zz,real_amplitudes,10,8,circular,noiseless,0.02821405187306086,0.7626303073652106,0.00047007780856011806,0.1837270046061558,0.4000000000000001,0.028688016622482056,0.005704135248625423,2.989274267683819e-05,0.0,0.0
zz,real_amplitudes,10,8,linear,noiseless,0.08099761139290049,0.6830915723427758,0.005715655744613999,0.18549776624977574,0.4000000000000001,0.05039044051840133,0.010705298146415717,0.004695685841131363,0.0,0.0
zz,rotation_only,4,1,circular,noiseless,0.058394173073825974,0.7165943489988607,0.07871388427083084,0.19581847487496198,0.4000000000000001,0.011586693672983121,0.005719041667476149,0.06836918171979972,0.0,0.0
zz,rotation_only,4,1,linear,noiseless,0.08002380249365237,0.5998704083088823,0.08632569955048293,0.2002035731650517,0.4000000000000001,0.020533892816176222,0.005466893376163983,0.06763205009296314,0.0,0.0
zz,rotation_only,4,8,circular,noiseless,0.06373002138380655,0.6681518589477302,0.0394707656853838,0.19945813617857114,0.4000000000000001,0.003487325292861935,0.010786128376722243,0.04146477694785392,0.0,0.0
zz,rotation_only,4,8,linear,noiseless,0.09230103085322594,0.5488612181881117,0.05707537152887352,0.22341684009863036,0.4000000000000001,0.026833135032094838,0.010399625935188268,0.06567709312360388,0.0,0.0
zz,rotation_only,10,1,circular,noiseless,0.03823575703738283,0.7192242003343944,0.08300030130861975,0.18323917048649144,0.4000000000000001,0.03311313617034082,0.005481663010638313,0.0630226190727497,0.0,0.0
